dates,start,visitor,pts_visitor,home,pts_home,ot,attendance,arena,urls,id
"Sat, Feb 22, 2020",8:00p,Cleveland Cavaliers,105,Miami Heat,124,,"19,754",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/202002220MIA.html,202002220MIA
"Sat, Feb 22, 2020",8:30p,Philadelphia 76ers,98,Milwaukee Bucks,119,,"18,290",Fiserv Forum,https://www.basketball-reference.com/boxscores/pbp/202002220MIL.html,202002220MIL
"Sat, Feb 22, 2020",9:00p,Houston Rockets,120,Utah Jazz,110,,"18,306",Vivint Smart Home Arena,https://www.basketball-reference.com/boxscores/pbp/202002220UTA.html,202002220UTA
"Sun, Feb 23, 2020",3:30p,Boston Celtics,112,Los Angeles Lakers,114,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/202002230LAL.html,202002230LAL
"Sun, Feb 23, 2020",6:00p,Minnesota Timberwolves,116,Denver Nuggets,128,,"19,626",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/202002230DEN.html,202002230DEN
"Sun, Feb 23, 2020",6:00p,Indiana Pacers,81,Toronto Raptors,127,,"19,800",Scotiabank Arena,https://www.basketball-reference.com/boxscores/pbp/202002230TOR.html,202002230TOR
"Sun, Feb 23, 2020",7:00p,Washington Wizards,117,Chicago Bulls,126,,"18,024",United Center,https://www.basketball-reference.com/boxscores/pbp/202002230CHI.html,202002230CHI
"Sun, Feb 23, 2020",7:00p,San Antonio Spurs,103,Oklahoma City Thunder,131,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/202002230OKC.html,202002230OKC
"Sun, Feb 23, 2020",8:30p,New Orleans Pelicans,115,Golden State Warriors,101,,"18,064",Chase Center,https://www.basketball-reference.com/boxscores/pbp/202002230GSW.html,202002230GSW
"Sun, Feb 23, 2020",9:00p,Detroit Pistons,104,Portland Trail Blazers,107,,"19,393",Moda Center,https://www.basketball-reference.com/boxscores/pbp/202002230POR.html,202002230POR
"Mon, Feb 24, 2020",7:00p,Miami Heat,119,Cleveland Cavaliers,125,OT,"17,336",Rocket Mortgage Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/202002240CLE.html,202002240CLE
"Mon, Feb 24, 2020",7:00p,Atlanta Hawks,112,Philadelphia 76ers,129,,"20,836",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/202002240PHI.html,202002240PHI
"Mon, Feb 24, 2020",7:00p,Milwaukee Bucks,137,Washington Wizards,134,OT,"16,580",Capital One Arena,https://www.basketball-reference.com/boxscores/pbp/202002240WAS.html,202002240WAS
"Mon, Feb 24, 2020",7:30p,Orlando Magic,115,Brooklyn Nets,113,,"16,162",Barclays Center,https://www.basketball-reference.com/boxscores/pbp/202002240BRK.html,202002240BRK
"Mon, Feb 24, 2020",8:00p,New York Knicks,112,Houston Rockets,123,,"18,055",Toyota Center,https://www.basketball-reference.com/boxscores/pbp/202002240HOU.html,202002240HOU
"Mon, Feb 24, 2020",8:30p,Minnesota Timberwolves,123,Dallas Mavericks,139,,"19,936",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/202002240DAL.html,202002240DAL
"Mon, Feb 24, 2020",9:00p,Phoenix Suns,131,Utah Jazz,111,,"18,306",Vivint Smart Home Arena,https://www.basketball-reference.com/boxscores/pbp/202002240UTA.html,202002240UTA
"Mon, Feb 24, 2020",10:30p,Memphis Grizzlies,97,Los Angeles Clippers,124,,"19,068",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/202002240LAC.html,202002240LAC
